U06G,Long Jump,11,pit
U06G,Discus,17,discus
U06G,100m Sprint,1,track
U06G,Shot Put,13,shotput
U06B,Long Jump,9,pit
U06B,Discus,14,discus
U06B,100m Sprint,1,track
U06B,Shot Put,11,shotput
U07G,Long Jump,22,pit
U07G,Discus,33,discus
U07G,100m Sprint,2,track
U07B,Long Jump,15,pit
U07B,Discus,22,discus
U07B,100m Sprint,1,track
U08G,High Jump (scissors),52,scissors
U08G,Vortex,15,field
U08G,500m Run,4,track
U08G,100m Sprint,1,track
U08B,Long Jump,15,pit
U08B,Vortex,15,field
U08B,500m Run,4,track
U08B,100m Sprint,1,track
U09G,Long Jump,22,pit
U09G,Shot Put,24,shotput
U09G,400m Run,4,track
U09G,100m Sprint,2,track
U09B,High Jump (scissors),45,scissors
U09B,Discus,19,discus
U09B,400m Run,2,track
U09B,100m Sprint,1,track
U10G,High Jump (scissors),62,scissors
U10G,Discus,27,discus
U10G,400m Run,4,track
U10G,100m Sprint,2,track
U10B,Long Jump,11,pit
U10B,Discus,15,discus
U10B,400m Run,2,track
U10B,100m Sprint,1,track
U11G,400m Run,4,track
U11G,100m Sprint,2,track
U11G,200m Sprint,2,track
U11G,High Jump,68,flop
U11G,Shot Put,26,shotput
U11B,400m Run,4,track
U11B,100m Sprint,2,track
U11B,200m Sprint,2,track
U11B,High Jump,62,flop
U11B,Shot Put,30,shotput
U12G,400m Run,2,track
U12G,100m Sprint,2,track
U12G,200m Sprint,2,track
U12G,Triple Jump,21,pit
U12G,Discus,24,discus
U12B,400m Run,2,track
U12B,100m Sprint,2,track
U12B,200m Sprint,2,track
U12B,Triple Jump,19,pit
U12B,Javelin,33,javelin
U13G,Long Jump,15,pit
U13G,Javelin,29,javelin
U13G,400m Run,2,track
U13G,80m Hurdles (76cm),1,track
U13G,100m Sprint,1,track
U13-14B,Long Jump,17,pit
U13-14B,Javelin,33,javelin
U13-14B,400m Run,2,track
U13-14B,80m Hurdles (76cm),1,track
U13-14B,100m Sprint,2,track
U14G,Long Jump,13,pit
U14G,Discus,22,discus
U14G,400m Run,2,track
U14G,80m Hurdles (76cm),1,track
U14G,100m Sprint,1,track
U15-17G,Long Jump,18,pit
U15-17G,Discus,24,discus
U15-17G,400m Run,2,track
U15-17G,90m Hurdles (76cm),2,track
U15-17G,100m Sprint,1,track
U15-17B,Long Jump,15,pit
U15-17B,Discus,20,discus
U15-17B,400m Run,2,track
U15-17B,100m Hurdles (76cm),1,track
U15-17B,100m Sprint,1,track
