U06B,Discus,14,discus
U06B,70m Sprint,1,track
U06B,200m Sprint,2,track
U06G,Discus,17,discus
U06G,70m Sprint,1,track
U06G,200m Sprint,2,track
U07B,Discus,22,discus
U07B,300m Run,3,track
U07B,70m Sprint,1,track
U07G,Discus,33,discus
U07G,300m Run,5,track
U07G,70m Sprint,1,track
U08G,Long Jump,15,pit
U08G,500m Run,4,track
U08G,70m Sprint,1,track
U08B,High Jump (scissors),52,scissors
U08B,Vortex,15,field
U08B,500m Run,4,track
U08B,70m Sprint,1,track
U08G,Vortex,15,field
U09G,High Jump (scissors),71,scissors
U09G,Shot Put,24,shotput
U09G,70m Sprint,1,track
U09G,200m Sprint,3,track
U09B,Long Jump,13,pit
U09B,Discus,19,discus
U09B,70m Sprint,1,track
U09B,200m Sprint,2,track
U10B,Discus,15,discus
U10B,100m Sprint,1,track
U10B,200m Sprint,1,track
U10G,Discus,27,discus
U10G,100m Sprint,2,track
U10G,200m Sprint,2,track
U10B,High Jump (scissors),34,scissors
U10G,Long Jump,20,pit
U11B,1500m Run,6,track
U11B,100m Sprint,2,track
U11B,200m Sprint,2,track
U11G,1500m Run,6,track
U11G,100m Sprint,2,track
U11G,200m Sprint,2,track
U12B,1500m Run,6,track
U12B,100m Sprint,2,track
U12B,200m Sprint,2,track
U12G,1500m Run,6,track
U12G,100m Sprint,2,track
U12G,200m Sprint,2,track
U13-14B,1500m Run,6,track
U13-14B,100m Sprint,2,track
U13-14B,200m Sprint,2,track
U13G,1500m Run,6,track
U13G,100m Sprint,1,track
U13G,200m Sprint,1,track
U14G,1500m Run,6,track
U14G,100m Sprint,1,track
U14G,200m Sprint,1,track
U15-17B,1500m Run,6,track
U15-17B,100m Sprint,1,track
U15-17B,200m Sprint,1,track
U15-17G,1500m Run,6,track
U15-17G,100m Sprint,1,track
U15-17G,200m Sprint,2,track
U11G,High Jump,68,flop
U11G,Shot Put,26,shotput
U11B,High Jump,62,flop
U11B,Shot Put,30,shotput
U12B,Triple Jump,19,pit
U12G,Triple Jump,21,pit
U12G,Discus,24,discus
U12B,Javelin,33,javelin
U13-14B,Triple Jump,19,pit
U13-14B,Javelin,33,javelin
U13G,Long Jump,15,pit
U13G,Javelin,29,javelin
U14G,High Jump,45,flop
U14G,Shot Put,19,shotput
U15-17B,Long Jump,15,pit
U15-17B,Discus,20,discus
U15-17G,Long Jump,18,pit
U15-17G,Discus,24,discus
