U06G,100m Sprint,1,track
U06B,100m Sprint,1,track
U13G,Long Jump,15,pit
U11G,Shot Put,26,shotput
U10G,High Jump (scissors),62,scissors
U14G,High Jump,45,flop
U15-17G,Long Jump,18,pit
U08B,60m Hurdles (45cm),1,track
U12G,Discus,24,discus
U10B,Shot Put,13,shotput
U06B,60m Hurdles (20cm),1,track
U06G,60m Hurdles (20cm),1,track
U07G,60m Hurdles (30cm),2,track
U07G,Discus,33,discus
U07B,60m Hurdles (30cm),1,track
U09B,60m Hurdles (45cm),1,track
U12B,100m Sprint,2,track
U12B,High Jump,56,flop
U15-17B,100m Sprint,1,track
U13-14B,100m Sprint,2,track
U07B,100m Sprint,1,track
U08G,60m Hurdles (45cm),1,track
U07B,Long Jump,15,pit
U08B,100m Sprint,1,track
U08B,Shot Put,17,shotput
U09G,60m Hurdles (45cm),2,track
U06G,70m Sprint,1,track
U06B,70m Sprint,1,track
U06G,Long Jump,11,pit
U09B,Discus,19,discus
U06B,Shot Put,11,shotput
U09G,Shot Put,24,shotput
U08G,100m Sprint,1,track
U13G,100m Sprint,1,track
U07G,100m Sprint,2,track
U11B,Long Jump,26,pit
U07B,Discus,22,discus
U08G,Long Jump,15,pit
U07G,Long Jump,22,pit
U06G,Shot Put,13,shotput
U11G,100m Sprint,2,track
U10B,60m Hurdles (60cm),1,track
U14G,100m Sprint,1,track
U13-14B,High Jump,45,flop
U10B,Long Jump,11,pit
U10G,60m Hurdles (60cm),2,track
U10G,100m Sprint,2,track
U10G,Discus,27,discus
U09B,100m Sprint,1,track
U09B,High Jump (scissors),45,scissors
U06B,Long Jump,9,pit
U12G,100m Sprint,2,track
U12G,High Jump,51,flop
U09G,100m Sprint,2,track
U11B,100m Sprint,2,track
U08G,Shot Put,15,shotput
U09G,Long Jump,22,pit
U12B,Shot Put,21,shotput
U11B,Discus,34,discus
U11G,Long Jump,22,pit
U07G,200m Sprint,3,track
U13G,80m Hurdles (76cm),1,track
U10B,100m Sprint,1,track
U13G,Shot Put,17,shotput
U14G,80m Hurdles (76cm),1,track
U13-14B,80m Hurdles (76cm),1,track
U14G,Shot Put,19,shotput
U08B,Long Jump,15,pit
U13-14B,Discus,22,discus
U15-17B,100m Hurdles (76cm),1,track
U15-17B,Long Jump,15,pit
U08G,200m Sprint,2,track
U15-17G,90m Hurdles (76cm),2,track
U15-17G,Shot Put,21,shotput
U11G,800m Run,3,track
U07B,200m Sprint,2,track
U12B,800m Run,3,track
U09B,800m Run,3,track
U10B,800m Run,3,track
U10G,800m Run,3,track
U11B,800m Run,3,track
U12G,800m Run,3,track
U15-17G,800m Run,3,track
U13G,800m Run,3,track
U13-14B,800m Run,3,track
U09G,800m Run,3,track
U14G,800m Run,3,track
U15-17B,800m Run,3,track
U08B,200m Sprint,2,track
U11B,80m Hurdles (60cm),2,track
U11G,80m Hurdles (60cm),2,track
U12B,80m Hurdles (68cm),2,track
U12G,80m Hurdles (68cm),2,track
U15-17G,100m Sprint,1,track
U15-17B,Shot Put,17,shotput
